*******************************************************************************
Ephemeris / WWW_USER Thu Jun 11 18:27:11 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  2.989110071071475E-01, -9.717355875630055E-01, -1.091314130062086E-06,  1.616164613030913E-02,  4.999744719589209E-03, -8.394817614111694E-08,  5.871796089680038E-03,  1.016669977085691E+00, -2.708445411394707E-05,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  3.150290954789914E-01, -9.665996212173501E-01, -1.101200795845207E-06,  1.607380726475421E-02,  5.271902735100747E-03,  6.313999096808278E-08,  5.871626561446355E-03,  1.016640624181942E+00, -3.157676629270502E-05,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  3.310571861183434E-01, -9.611923550988094E-01, -9.681012293923855E-07,  1.598166142073089E-02,  5.542341780819791E-03,  2.010641077362494E-07,  5.871431829010302E-03,  1.016606907305832E+00, -3.581786584216858E-05,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  3.469910023468654E-01, -9.555155154650121E-01, -7.038837533226466E-07,  1.588526732583420E-02,  5.811047407317359E-03,  3.245856593381911E-07,  5.871213247608178E-03,  1.016569061109252E+00, -3.984099913450821E-05,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  3.628263210073237E-01, -9.495708427816286E-01, -3.251739879428452E-07,  1.578467366873323E-02,  6.078005544117962E-03,  4.294015360234031E-07,  5.870971978943923E-03,  1.016527286735003E+00, -4.367986196818678E-05,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  3.785589633623161E-01, -9.433600915297417E-01,  1.475100888048897E-07,  1.567992079410873E-02,  6.343202226178268E-03,  5.120143826335628E-07,  5.870708989076669E-03,  1.016481751451041E+00, -4.736855444173583E-05,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  3.941847871805195E-01, -9.368850301032948E-01,  6.905288458979330E-07,  1.557104142360382E-02,  6.606623583975161E-03,  5.696743391293647E-07,  5.870425045028463E-03,  1.016432588063114E+00, -5.094197669977786E-05,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  4.096996791855624E-01, -9.301474407908804E-01,  1.277866285840178E-06,  1.545806072186436E-02,  6.868255632240927E-03,  6.003832914483855E-07,  5.870120708957632E-03,  1.016379893905920E+00, -5.443622016945119E-05,
