*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:28:31 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591309705483544E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.679070834233133E-02,  9.831664983565955E-01,  2.909889675126698E-04,  9.489630786190529E+01,  6.822151784739021E+00,  2.451911473009056E+06,  9.856734988615203E-01,  1.855623949598567E+02,  1.853797146585100E+02,  9.999564758984316E-01,  1.016746453440268E+00,  3.652325038826850E+02,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  1.696929960013415E-02,  9.828124862317120E-01,  2.225687661502360E-04,  3.042426305537419E+02,  1.576004658538718E+02,  2.451911554335163E+06,  9.859374196193730E-01,  1.864214430770550E+02,  1.862084578418324E+02,  9.997780189692294E-01,  1.016743551706747E+00,  3.651347365829569E+02,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  1.713055047266263E-02,  9.824903055076969E-01,  6.831117272706732E-04,  2.935861599417598E+02,  1.684397057515659E+02,  2.451911700683014E+06,  9.861797251458425E-01,  1.872206385801175E+02,  1.869790431299253E+02,  9.996142478333997E-01,  1.016738190159102E+00,  3.650450225457241E+02,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  1.726950820005160E-02,  9.822095996313626E-01,  1.100100405725749E-03,  2.920249246334785E+02,  1.702292576107303E+02,  2.451911900205652E+06,  9.863932952334045E-01,  1.879728064574340E+02,  1.877040722188444E+02,  9.994699542011443E-01,  1.016730308770926E+00,  3.649659843995749E+02,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  1.738233834733737E-02,  9.819779568817922E-01,  1.454623339281058E-03,  2.916335524167414E+02,  1.708822605966044E+02,  2.451912141157830E+06,  9.865724110068247E-01,  1.886904242697400E+02,  1.883957963171750E+02,  9.993489789611610E-01,  1.016720001040530E+00,  3.648997235110294E+02,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  1.746610724423020E-02,  9.818013213424617E-01,  1.734448163110995E-03,  2.915903251624906E+02,  1.712085754991340E+02,  2.451912411974455E+06,  9.867124734167295E-01,  1.893855980022832E+02,  1.890660922962834E+02,  9.992544059612505E-01,  1.016707490580039E+00,  3.648479265225191E+02,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  1.751867332736416E-02,  9.816841984542213E-01,  1.930204799131403E-03,  2.916629137008492E+02,  1.714289316716216E+02,  2.451912701174043E+06,  9.868098653156964E-01,  1.900701826352960E+02,  1.897265805915272E+02,  9.991886581487365E-01,  1.016693117843252E+00,  3.648119183373083E+02,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  1.753866477791931E-02,  9.816296963997084E-01,  2.035155656802986E-03,  2.917434639101506E+02,  1.716397097720249E+02,  2.451912997226998E+06,  9.868619293121141E-01,  1.907559156932650E+02,  1.903887561150121E+02,  9.991535149602764E-01,  1.016677333520844E+00,  3.647926719099760E+02,
