*******************************************************************************
Ephemeris / WWW_USER Fri Jun 12 09:39:32 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1P/Halley                       {source: JPL#J863/77}
Center body name: Sun (10)                        {source: DE406}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB406-CPV-2}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449400.5 ! 1994-Feb-17.0000000 (TDB)    RMSW= n.a.                  
   EC= .9671429084623044   QR= .5859781115169086   TP= 2446467.3953170511      
   OM= 58.42008097656843   W= 111.3324851045177    IN= 162.2626905791606       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.394097492221407E+01  Y= 1.280566418073994E+01  Z=-6.838705058662126E-01
  VX=-2.114527120886761E-03 VY= 3.184092376402889E-03 VZ= 2.042731155152628E-04
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 5.5                                            
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 2.69646383822E-10   A2= 1.554613374174E-10  A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000, -1.760943685073357E+01,  1.738887238481535E+01, -7.706557651322623E+00, -1.151194238819441E-03,  2.132754071755184E-03, -6.658774895161891E-04,  1.497025247153146E-01,  2.592018865379892E+01,  2.410850273108692E-03,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000, -1.761058789859155E+01,  1.739100498603977E+01, -7.707223463163501E+00, -1.150901484633766E-03,  2.132448386716601E-03, -6.657461964750875E-04,  1.497164474022190E-01,  2.592259929230897E+01,  2.410426758714226E-03,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000, -1.761173865371787E+01,  1.739313728160750E+01, -7.707889143724071E+00, -1.150608775546701E-03,  2.132142757870362E-03, -6.656149289362039E-04,  1.497303676433098E-01,  2.592500950733952E+01,  2.410003313834352E-03,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000, -1.761288911615781E+01,  1.739526927157329E+01, -7.708554693029958E+00, -1.150316111955182E-03,  2.131837182364671E-03, -6.654836871422030E-04,  1.497442854389839E-01,  2.592741929895928E+01,  2.409579936902727E-03,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000, -1.761403928595708E+01,  1.739740095598924E+01, -7.709220111107003E+00, -1.150023494286217E-03,  2.131531657905825E-03, -6.653524712866631E-04,  1.497582007896300E-01,  2.592982866723557E+01,  2.409156626732969E-03,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000, -1.761518916316188E+01,  1.739953233490560E+01, -7.709885397981217E+00, -1.149730923101321E-03,  2.131226182973865E-03, -6.652212814868064E-04,  1.497721136956315E-01,  2.593223761223480E+01,  2.408733382726248E-03,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000, -1.761633874781903E+01,  1.740166340837144E+01, -7.710550553678674E+00, -1.149438399163583E-03,  2.130920756827784E-03, -6.650901177768411E-04,  1.497860241573706E-01,  2.593464613402308E+01,  2.408310204918433E-03,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000, -1.761748803997628E+01,  1.740379417643548E+01, -7.711215578225451E+00, -1.149145923467734E-03,  2.130615379371467E-03, -6.649589801160869E-04,  1.497999321752310E-01,  2.593705423266690E+01,  2.407887093913047E-03,
