*******************************************************************************
Ephemeris / WWW_USER Thu Jun 11 21:55:44 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1P/Halley                       {source: JPL#J863/77}
Center body name: Sun (10)                        {source: DE406}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591220828559093E-04 au^3/d^2
Small perturbers: Yes                             {source: SB406-CPV-2}
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449400.5 ! 1994-Feb-17.0000000 (TDB)    RMSW= n.a.                  
   EC= .9671429084623044   QR= .5859781115169086   TP= 2446467.3953170511      
   OM= 58.42008097656843   W= 111.3324851045177    IN= 162.2626905791606       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.394097492221407E+01  Y= 1.280566418073994E+01  Z=-6.838705058662126E-01
  VX=-2.114527120886761E-03 VY= 3.184092376402889E-03 VZ= 2.042731155152628E-04
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 5.5                                            
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 2.69646383822E-10   A2= 1.554613374174E-10  A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  9.674695244177898E-01,  5.828639872350704E-01,  1.621920283290645E+02,  5.956313896300102E+01,  1.124714615277075E+02,  2.446477007223944E+06,  1.299537626205773E-02,  6.832309681989540E+01,  1.710758022759350E+02,  1.791747513072995E+01,  3.525208627422484E+01,  2.770216057930410E+04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  9.674705645069321E-01,  5.828443172621679E-01,  1.621920198444019E+02,  5.956325409609931E+01,  1.124714023533298E+02,  2.446477009775696E+06,  1.299541085065359E-02,  6.833624091897524E+01,  1.710775418687775E+02,  1.791744333793847E+01,  3.525204235861477E+01,  2.770208684721146E+04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  9.674716028085676E-01,  5.828246794698679E-01,  1.621920114272119E+02,  5.956336829887031E+01,  1.124713425571564E+02,  2.446477012313632E+06,  1.299544543649415E-02,  6.834938525211098E+01,  1.710792808794978E+02,  1.791741154782060E+01,  3.525199841617133E+01,  2.770201312138471E+04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  9.674726395209741E-01,  5.828050699261290E-01,  1.621920030882657E+02,  5.956348142544434E+01,  1.124712819627728E+02,  2.446477014837336E+06,  1.299548003226377E-02,  6.836252989141779E+01,  1.710810193458121E+02,  1.791737974871734E+01,  3.525195442750856E+01,  2.770193937478501E+04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  9.674736748111571E-01,  5.827854853435586E-01,  1.621919948356746E+02,  5.956359336608794E+01,  1.124712204347949E+02,  2.446477017346577E+06,  1.299551464782901E-02,  6.837567489185467E+01,  1.710827572988055E+02,  1.791734793155992E+01,  3.525191037777628E+01,  2.770186558638063E+04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  9.674747088090055E-01,  5.827659232236884E-01,  1.621919866732443E+02,  5.956370406950242E+01,  1.124711579020242E+02,  2.446477019841459E+06,  1.299554928891460E-02,  6.838882028225783E+01,  1.710844947610093E+02,  1.791731609108669E+01,  3.525186625894970E+01,  2.770179174396926E+04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  9.674757416114945E-01,  5.827463817874476E-01,  1.621919786000016E+02,  5.956381354921480E+01,  1.124710943631386E+02,  2.446477022322481E+06,  1.299558395690812E-02,  6.840196606350413E+01,  1.710862317467947E+02,  1.791728422602256E+01,  3.525182207025767E+01,  2.770171784459392E+04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  9.674767732927185E-01,  5.827268597780136E-01,  1.621919706105793E+02,  5.956392187832811E+01,  1.124710298798489E+02,  2.446477024790531E+06,  1.299561864944272E-02,  6.841511221170121E+01,  1.710879682642195E+02,  1.791725233854334E+01,  3.525177781730866E+01,  2.770164389330074E+04,
