*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:12:17 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  2.970376890782657E+00,  4.012129212380978E+00, -8.312456036628660E-02, -6.157318073991522E-03,  4.847353695001696E-03,  1.177296861701227E-04,  2.883553222453441E-02,  4.992717634983230E+00,  2.301087106992557E-04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  2.964215977277673E+00,  4.016972478199608E+00, -8.300671047601993E-02, -6.164842325659407E-03,  4.838613745412940E-03,  1.179448619146206E-04,  2.883686538197510E-02,  4.992948464038597E+00,  2.308984204710290E-04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  2.958047961135120E+00,  4.021806322726412E+00, -8.288866284510625E-02, -6.171367176091972E-03,  4.829685037249516E-03,  1.181700298722690E-04,  2.883820138215933E-02,  4.993179785299747E+00,  2.321291884141777E-04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  2.951872195568635E+00,  4.026631285668234E+00, -8.277040464103151E-02, -6.179762954924583E-03,  4.819499336752325E-03,  1.183264507738790E-04,  2.883954052284946E-02,  4.993411650322638E+00,  2.312411876742378E-04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  2.945689437786418E+00,  4.031445921973760E+00, -8.265197465075277E-02, -6.186229732489661E-03,  4.810246738186110E-03,  1.185420693983960E-04,  2.884087866671533E-02,  4.993643342750762E+00,  2.322433137323474E-04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  2.939499297215411E+00,  4.036250940320479E+00, -8.253335837143458E-02, -6.193389704899136E-03,  4.799616009197570E-03,  1.186940265275532E-04,  2.884221777039425E-02,  4.993875201365360E+00,  2.317225965968106E-04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  2.933302707917576E+00,  4.041046120842188E+00, -8.241455112086959E-02, -6.200432549397842E-03,  4.790590213597496E-03,  1.189058906697020E-04,  2.884355997267802E-02,  4.994107596486757E+00,  2.325642397063339E-04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  2.927098988942196E+00,  4.045831149181415E+00, -8.229557196625267E-02, -6.206308325838242E-03,  4.779931575174401E-03,  1.190790989312468E-04,  2.884490147425761E-02,  4.994339870284990E+00,  2.327670082151650E-04,
