*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:33:28 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup310}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9619468438424372E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  4.867838814513279E-02,  4.950085933632335E+00,  1.304466032361375E+00,  1.005015314156950E+02,  2.748508845555911E+02,  2.451316171335760E+06,  8.307745800020437E-02,  3.475368203371524E+01,  3.809854009985852E+01,  5.203377986946768E+00,  5.456670040261202E+00,  4.333305431650478E+03,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  4.888494977964048E-02,  4.950184851117568E+00,  1.304517827105584E+00,  1.004990783422343E+02,  2.749725633745057E+02,  2.451317514977057E+06,  8.304791207270391E-02,  3.471278343310836E+01,  3.806919851778240E+01,  5.204612049794273E+00,  5.459039248470979E+00,  4.334847090253631E+03,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  4.893828864359083E-02,  4.949872565056253E+00,  1.304727532175872E+00,  1.004892395787788E+02,  2.748788871337112E+02,  2.451316410682462E+06,  8.304878480360263E-02,  3.488790733054626E+01,  3.826258889737337E+01,  5.204575587420839E+00,  5.459278609785426E+00,  4.334801536847813E+03,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  4.898228605991984E-02,  4.950587992143135E+00,  1.304358477135311E+00,  1.005065101309416E+02,  2.751628234708506E+02,  2.451319677437327E+06,  8.302502133106394E-02,  3.468972717854748E+01,  3.805126736752854E+01,  5.205568644597353E+00,  5.460549297051569E+00,  4.336042246402958E+03,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  4.897398321739872E-02,  4.950309720765012E+00,  1.304520754971474E+00,  1.004989356900904E+02,  2.750566658898339E+02,  2.451318446127678E+06,  8.303310941478213E-02,  3.487837914064336E+01,  3.825486467324858E+01,  5.205230596647938E+00,  5.460151472530862E+00,  4.335619881482005E+03,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  4.879138748303984E-02,  4.950555247389640E+00,  1.304257701347280E+00,  1.005111832235567E+02,  2.750710682847567E+02,  2.451318685027527E+06,  8.305084509335815E-02,  3.494903909186450E+01,  3.831808016329568E+01,  5.204489511811870E+00,  5.458423776234101E+00,  4.334694000949911E+03,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  4.890375393073799E-02,  4.950509036834990E+00,  1.304341502247434E+00,  1.005072841409023E+02,  2.751002420291926E+02,  2.451318988468171E+06,  8.303729196519256E-02,  3.500117613519406E+01,  3.838265181151178E+01,  5.205055805124561E+00,  5.459602573414132E+00,  4.335401498291927E+03,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  4.856839508193895E-02,  4.950193504838936E+00,  1.304328623769493E+00,  1.005078959119136E+02,  2.748434875690690E+02,  2.451316129250649E+06,  8.308915825220989E-02,  3.534369750863917E+01,  3.872863144907177E+01,  5.202889497522267E+00,  5.455585490205598E+00,  4.332695234524478E+03,
