*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:07:00 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000, -3.821492934087927E-01,  1.552155715139944E+00,  4.202813237609462E-02, -1.306302456488598E-02, -2.105543111102340E-03,  2.771232029885040E-04,  9.235398404974188E-03,  1.599059664429521E+00,  1.085351499476852E-03,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000, -3.951986145951800E-01,  1.549994191271579E+00,  4.230374590516159E-02, -1.303547011723643E-02, -2.217442712387481E-03,  2.741015234624734E-04,  9.241647874270550E-03,  1.600141726495249E+00,  1.078761899567598E-03,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000, -4.082199391186671E-01,  1.547720954566340E+00,  4.257633080519188E-02, -1.300703207156029E-02, -2.328967856746105E-03,  2.710659731809945E-04,  9.247859100524744E-03,  1.601217166983487E+00,  1.072108465928892E-03,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000, -4.212123859517997E-01,  1.545336382197186E+00,  4.284587332470288E-02, -1.297771558089066E-02, -2.440113109717641E-03,  2.680167970155841E-04,  9.254031716954766E-03,  1.602285922387903E+00,  1.065391868448540E-03,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000, -4.341750792113250E-01,  1.542840856748702E+00,  4.311235995173061E-02, -1.294752579331933E-02, -2.550873102344700E-03,  2.649542347949061E-04,  9.260165360677929E-03,  1.603347929877304E+00,  1.058612772024772E-03,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000, -4.471071481601870E-01,  1.540234766151925E+00,  4.337577741249234E-02, -1.291646784667483E-02, -2.661242523206172E-03,  2.618785191864076E-04,  9.266259672691226E-03,  1.604403127292249E+00,  1.051771841800631E-03,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000, -4.600077272094727E-01,  1.537518503621355E+00,  4.363611267040818E-02, -1.288454687618482E-02, -2.771216115962942E-03,  2.587898800098433E-04,  9.272314297860436E-03,  1.605451453143152E+00,  1.044869746692653E-03,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000, -4.728759559193643E-01,  1.534692467593516E+00,  4.389335292495773E-02, -1.285176802608301E-02, -2.880788682787070E-03,  2.556885503499154E-04,  9.278328884912737E-03,  1.606492846609010E+00,  1.037907158867765E-03,
