*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:31:17 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591230378107436E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  9.345578069966977E-02,  1.381244925759640E+00,  1.849693415866189E+00,  4.956140848289674E+01,  2.864778340763961E+02,  2.451507986801730E+06,  5.240606968188704E-01,  1.187066645242305E+02,  1.275644733521414E+02,  1.523637674095681E+00,  1.666030422431722E+00,  6.869433296281438E+02,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  9.345623595242997E-02,  1.381242910879228E+00,  1.849692931682623E+00,  4.956138762540387E+01,  2.864773089435253E+02,  2.451507986056101E+06,  5.240614487614107E-01,  1.192312870534287E+02,  1.280369318034684E+02,  1.523636216647946E+00,  1.666029522416664E+00,  6.869423439767215E+02,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  9.345669033444017E-02,  1.381240909995619E+00,  1.849692461135282E+00,  4.956136698810543E+01,  2.864767893125462E+02,  2.451507985318791E+06,  5.240621934956846E-01,  1.197559050803989E+02,  1.285087779028997E+02,  1.523634773175022E+00,  1.666028636354425E+00,  6.869413677767320E+02,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  9.345714233492769E-02,  1.381238927686385E+00,  1.849692014847468E+00,  4.956134706342014E+01,  2.864762753845768E+02,  2.451507984590434E+06,  5.240629297264707E-01,  1.202805179541711E+02,  1.289800160407723E+02,  1.523633346187249E+00,  1.666027764688113E+00,  6.869404027258679E+02,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  9.345759083308733E-02,  1.381236966671430E+00,  1.849691594288695E+00,  4.956132795960247E+01,  2.864757671897682E+02,  2.451507983870876E+06,  5.240636568776180E-01,  1.208051255979288E+02,  1.294506511725398E+02,  1.523631936801223E+00,  1.666026906931016E+00,  6.869394495792501E+02,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  9.345803598836265E-02,  1.381235025329639E+00,  1.849691187072989E+00,  4.956130914615918E+01,  2.864752645539810E+02,  2.451507983159001E+06,  5.240643757334007E-01,  1.213297287498575E+02,  1.299206891061791E+02,  1.523630543496724E+00,  1.666026061663810E+00,  6.869385073087611E+02,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  9.345847883377600E-02,  1.381233099759144E+00,  1.849690777466767E+00,  4.956128989436071E+01,  2.864747673010448E+02,  2.451507982453665E+06,  5.240650876186272E-01,  1.218543282929194E+02,  1.303901358592991E+02,  1.523629163705873E+00,  1.666025227652602E+00,  6.869375741777694E+02,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  9.345892012251543E-02,  1.381231187904173E+00,  1.849690360504495E+00,  4.956126994236172E+01,  2.864742754631873E+02,  2.451507981754750E+06,  5.240657930501141E-01,  1.223789243882523E+02,  1.308589967835700E+02,  1.523627796426876E+00,  1.666024404949579E+00,  6.869366495087664E+02,
