*******************************************************************************
Ephemeris / WWW_USER Thu Jun 11 18:18:46 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.674759476062048E-01, -4.103730613088014E-01, -4.889529572033567E-02,  2.041463196193275E-02,  1.205050786331081E-02, -8.893426883051193E-04,  2.575421375152284E-03,  4.459203879821291E-01, -3.325165961360046E-03,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  1.875975791958742E-01, -3.976395232547095E-01, -4.970194813870246E-02,  1.981498017951047E-02,  1.341470029952224E-02, -7.228617863015096E-04,  2.555497674638656E-03,  4.424707061751854E-01, -3.573219779607860E-03,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  2.070781682473030E-01, -3.835479731435337E-01, -5.033882549861667E-02,  1.913210428258619E-02,  1.476594125161709E-02, -5.498002046002462E-04,  2.534159059398879E-03,  4.387760394777173E-01, -3.814997360598660E-03,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  2.258331390798537E-01, -3.681132086131114E-01, -5.079937388249194E-02,  1.836327813323941E-02,  1.610046235188495E-02, -3.702155691985764E-04,  2.511444267665170E-03,  4.348430952067123E-01, -4.049620224341229E-03,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  2.437751250263961E-01, -3.513540345723423E-01, -5.107711056258132E-02,  1.750565035184519E-02,  1.741400650081295E-02, -1.841939351918045E-04,  2.487397405525634E-03,  4.306795100945945E-01, -4.276106018006170E-03,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  2.608138581002336E-01, -3.332937857268053E-01, -5.116565655908149E-02,  1.655627575100135E-02,  1.870175925893954E-02,  8.141723461342075E-06,  2.462068582321287E-03,  4.262939603048069E-01, -4.493356096413149E-03,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  2.768560953397085E-01, -3.139609207695344E-01, -5.105877841903568E-02,  1.551215766575291E-02,  1.995827413981417E-02,  2.066215258184031E-04,  2.435514619988787E-03,  4.216962842507007E-01, -4.700142356003308E-03,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  2.918055940309339E-01, -2.933896942305770E-01, -5.075044082549342E-02,  1.437030386782359E-02,  2.117739207939940E-02,  4.110169732822518E-04,  2.407799840205917E-03,  4.168976188855480E-01, -4.895093496232780E-03,
