*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 09:47:17 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591225741039542E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  2.056291720055277E-01,  3.075004619780377E-01,  7.004992972687586E+00,  4.833025304239374E+01,  2.912412845828762E+01,  2.451766194850165E+06,  4.092327495452509E+00,  2.302942932052296E+02,  2.149156607425096E+02,  3.870993887758646E-01,  4.666983155736915E-01,  8.796949911756585E+01,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  2.056292025469341E-01,  3.075004142447802E-01,  7.004992450163723E+00,  4.833024362058396E+01,  2.912417715418892E+01,  2.451766194856984E+06,  4.092328212321495E+00,  2.343865707915500E+02,  2.179568676187486E+02,  3.870993435693970E-01,  4.666982728940138E-01,  8.796948370760791E+01,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  2.056292332934932E-01,  3.075003651601417E-01,  7.004992009213662E+00,  4.833023438975960E+01,  2.912422536490505E+01,  2.451766194863445E+06,  4.092328954582450E+00,  2.384788505206310E+02,  2.210475985264695E+02,  3.870992967617006E-01,  4.666982283632594E-01,  8.796946775182487E+01,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  2.056292631751717E-01,  3.075003157384377E-01,  7.004991648801954E+00,  4.833022544058259E+01,  2.912427268314390E+01,  2.451766194869565E+06,  4.092329710255735E+00,  2.425711327466525E+02,  2.241925513032670E+02,  3.870992491082241E-01,  4.666981824780105E-01,  8.796945150773374E+01,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  2.056292911935859E-01,  3.075002669880337E-01,  7.004991366236990E+00,  4.833021685525222E+01,  2.912431867167545E+01,  2.451766194875350E+06,  4.092330466926804E+00,  2.466634178261302E+02,  2.273966362292693E+02,  3.870992013918411E-01,  4.666981357956484E-01,  8.796943524220009E+01,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  2.056293164659521E-01,  3.075002198787646E-01,  7.004991157347037E+00,  4.833020870565679E+01,  2.912436287518614E+01,  2.451766194880798E+06,  4.092331212056952E+00,  2.507557061075910E+02,  2.306649884265406E+02,  3.870991544032538E-01,  4.666980889277430E-01,  8.796941922475798E+01,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  2.056293382630752E-01,  3.075001753113477E-01,  7.004991016699207E+00,  4.833020105209566E+01,  2.912440483336827E+01,  2.451766194885897E+06,  4.092331933300374E+00,  2.548479979205799E+02,  2.340029780569985E+02,  3.870991089209988E-01,  4.666980425306498E-01,  8.796940372079449E+01,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  2.056293560391935E-01,  3.075001340901293E-01,  7.004990937843575E+00,  4.833019394256114E+01,  2.912444409480716E+01,  2.451766194890628E+06,  4.092332618817572E+00,  2.589402935643555E+02,  2.374162173890541E+02,  3.870990656916837E-01,  4.666979972932381E-01,  8.796938898481264E+01,
