*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:26:15 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  2.905606458561931E-01, -9.767877135871470E-01,  4.216771717757553E-04,  1.635953157544321E-02,  4.444210903365640E-03,  4.945425676690381E-06,  5.885760157004570E-03,  1.019087780393235E+00,  4.046634124902925E-04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  3.069356149927540E-01, -9.721775693856397E-01,  4.205811928384687E-04,  1.638686453556414E-02,  4.779707262272888E-03, -7.053164766638854E-06,  5.888023742173599E-03,  1.019479708015854E+00,  3.756672996777061E-04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  3.233266949952743E-01, -9.672218363484334E-01,  4.078203678241525E-04,  1.639119513555753E-02,  5.134588739065858E-03, -1.830620294880974E-05,  5.890061498846009E-03,  1.019832534646378E+00,  3.269332210335467E-04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  3.397093838305482E-01, -9.619035378117625E-01,  3.843601058665537E-04,  1.636969126610485E-02,  5.504032727786824E-03, -2.838780137887361E-05,  5.891767661139257E-03,  1.020127947489925E+00,  2.613184649361866E-04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  3.560568155580948E-01, -9.562105254702135E-01,  3.515525731626872E-04,  1.632042675758991E-02,  5.883213733966718E-03, -3.694813482539408E-05,  5.893053033271955E-03,  1.020350502775691E+00,  1.816976559824136E-04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  3.723405898743176E-01, -9.501354665852417E-01,  3.110663629379628E-04,  1.624224324978508E-02,  6.267326680835827E-03, -4.370289291852271E-05,  5.893845052301130E-03,  1.020487636619568E+00,  9.095992399925885E-05,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  3.885315047709053E-01, -9.436758227855009E-01,  2.648238336579584E-04,  1.613469123091545E-02,  6.651588815873733E-03, -4.842853650524482E-05,  5.894087962562136E-03,  1.020529695227483E+00, -7.957152797849403E-06,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  4.046002593585664E-01, -9.368338208941972E-01,  2.149405207460659E-04,  1.599802431026593E-02,  7.031258018128204E-03, -5.096263676237490E-05,  5.893743200577562E-03,  1.020470001540304E+00, -1.120331645426892E-04,
