*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:48:08 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 8.9970113901998714E-10 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.200609.p200831
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-JUN-09. PREDICTS-> 2020-AUG-30
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  6.532687249268845E-02,  2.375181514218024E-03,  5.291435076027113E+00,  1.146599205523370E+02,  3.346608729803137E+02,  2.451726574656040E+06,  1.341578827349530E+01,  1.063247365653906E+02,  1.133300680085415E+02,  2.541189475033286E-03,  2.707197435848548E-03,  2.683405497023447E+01,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  6.369973437058597E-02,  2.382344468602224E-03,  5.291480119625089E+00,  1.146546546283073E+02,  3.353179154695457E+02,  2.451726597483056E+06,  1.339021811901574E+01,  1.192066436938493E+02,  1.253278470196391E+02,  2.544423574418969E-03,  2.706502680235714E-03,  2.688529767030129E+01,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  6.147628783487873E-02,  2.394018705279259E-03,  5.291731804165351E+00,  1.146458381420074E+02,  3.368175996184576E+02,  2.451726667376391E+06,  1.333976973547205E+01,  1.311649348399532E+02,  1.362060220887593E+02,  2.550834543920465E-03,  2.707650382561671E-03,  2.698697257440035E+01,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  5.874088993570889E-02,  2.409048278631630E-03,  5.292246363137977E+00,  1.146358712281731E+02,  3.389262295292914E+02,  2.451726772635201E+06,  1.327294519208400E+01,  1.423837250249685E+02,  1.462630306012969E+02,  2.559389070313576E-03,  2.709729861995522E-03,  2.712284235263055E+01,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  5.576205599179898E-02,  2.425519979418021E-03,  5.292968446864672E+00,  1.146269218437155E+02,  3.414084582613339E+02,  2.451726904060006E+06,  1.320038675785179E+01,  1.530708927468335E+02,  1.557940861679269E+02,  2.568759278113647E-03,  2.711998576809274E-03,  2.727192820966906E+01,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  5.291512274886320E-02,  2.441123073100513E-03,  5.293764477448748E+00,  1.146204202081603E+02,  3.440769231818171E+02,  2.451727057347334E+06,  1.313320148534677E+01,  1.634118644663947E+02,  1.650393325044698E+02,  2.577512461381225E-03,  2.713901849661936E-03,  2.741144270128392E+01,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  5.059093285504159E-02,  2.453569480333056E-03,  5.294469421270507E+00,  1.146168106781451E+02,  3.468292803938770E+02,  2.451727234449481E+06,  1.308140190374237E+01,  1.735319978146585E+02,  1.741463488635671E+02,  2.584312247734662E-03,  2.715055015136267E-03,  2.751998621011789E+01,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  4.910868069000373E-02,  2.461014224375265E-03,  5.294934836879150E+00,  1.146155733723133E+02,  3.496643031406807E+02,  2.451755024023093E+06,  1.305259629383061E+01,  1.834763863008716E+02,  1.831548986635831E+02,  2.588113041310622E-03,  2.715211858245979E-03,  2.758071972011854E+01,
