*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:22:58 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.729139680049764E+01, -2.465439390856111E+01,  1.092129526746768E-01,  2.549293557312544E-03,  1.820699818014527E-03, -9.586090493037150E-05,  1.739230455208401E-01,  3.011384183029105E+01, -2.715938069991263E-05,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  1.729394622775204E+01, -2.465257292249614E+01,  1.091170790565577E-01,  2.549578412464739E-03,  1.821208973114481E-03, -9.595906113673163E-05,  1.739228886930203E-01,  3.011381467639580E+01, -2.708676497587919E-05,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  1.729649590152237E+01, -2.465075164002801E+01,  1.090209303561233E-01,  2.549702261843445E-03,  1.821287010952326E-03, -9.635786541095905E-05,  1.739227331600380E-01,  3.011378774669469E+01, -2.675465740240436E-05,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  1.729904546439946E+01, -2.464893042971992E+01,  1.089244022022714E-01,  2.549341716109257E-03,  1.821130620268661E-03, -9.664449406232639E-05,  1.739225794769496E-01,  3.011376113729282E+01, -2.650850059124800E-05,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  1.730159447927867E+01, -2.464710930752237E+01,  1.088277829588220E-01,  2.548676253644559E-03,  1.821179858092033E-03, -9.652257734652253E-05,  1.739224262745272E-01,  3.011373461111566E+01, -2.660448396624443E-05,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  1.730414288314763E+01, -2.464528792021590E+01,  1.087314543453631E-01,  2.548201920038223E-03,  1.821661291198746E-03, -9.611991876239607E-05,  1.739222716811455E-01,  3.011370784410137E+01, -2.694348228427600E-05,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  1.730669105248839E+01, -2.464346591215741E+01,  1.086354951012167E-01,  2.548216284361954E-03,  1.822352729905368E-03, -9.585581759067262E-05,  1.739221152665431E-01,  3.011368076175248E+01, -2.717398652307261E-05,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  1.730923941235452E+01, -2.464164329455052E+01,  1.085395992327272E-01,  2.548509488183825E-03,  1.822813928614850E-03, -9.600570661650850E-05,  1.739219584886524E-01,  3.011365361650218E+01, -2.705716738762666E-05,
