*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:43:20 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep081xl}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9592744867591893E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.138026843175659E-02,  2.971587283662590E+01,  1.761381924745923E+00,  1.318191771758912E+02,  2.733011462019782E+02,  2.468250017854881E+06,  5.981036211540532E-03,  2.612200896576147E+02,  2.599341887871536E+02,  3.005794026535131E+01,  3.040000769407671E+01,  6.019023916046063E+04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  1.130487678660157E-02,  2.972790113426075E+01,  1.762859171744631E+00,  1.318134859692858E+02,  2.716821906006996E+02,  2.467986878634795E+06,  5.978090334607841E-03,  2.628477904592780E+02,  2.615647918457630E+02,  3.006781406753670E+01,  3.040772700081264E+01,  6.021989964185039E+04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  1.118586051628414E-02,  2.973419081852482E+01,  1.770022654772360E+00,  1.317860378150652E+02,  2.713149571470014E+02,  2.467925136092715E+06,  5.977272741393210E-03,  2.632361067626787E+02,  2.619654200678646E+02,  3.007055586204479E+01,  3.040692090556475E+01,  6.022813673984860E+04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  1.114293857887668E-02,  2.972810035925878E+01,  1.775440356088923E+00,  1.317654433153201E+02,  2.726509495256887E+02,  2.468140613005479E+06,  5.979499011794324E-03,  2.619176019933872E+02,  2.606559717530727E+02,  3.006309154180021E+01,  3.039808272434163E+01,  6.020571276789482E+04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  1.122973789583590E-02,  2.971546712709487E+01,  1.773490081162061E+00,  1.317728329075998E+02,  2.743255143428760E+02,  2.468412882186235E+06,  5.982524820617996E-03,  2.602450947023782E+02,  2.589799793561745E+02,  3.005295392264177E+01,  3.039044071818867E+01,  6.017526225036405E+04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  1.135056211551213E-02,  2.970935352745323E+01,  1.766197984927409E+00,  1.318005911295931E+02,  2.746219625999444E+02,  2.468462925934530E+06,  5.983274674269602E-03,  2.599391491389026E+02,  2.586617439019486E+02,  3.005044294671862E+01,  3.039153236598401E+01,  6.016772078810611E+04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  1.137665838980322E-02,  2.971598085083177E+01,  1.761140702546409E+00,  1.318199629194808E+02,  2.733035771709802E+02,  2.468250625278712E+06,  5.981036361354213E-03,  2.612523403775089E+02,  2.599667247851356E+02,  3.005793976342149E+01,  3.039989867601122E+01,  6.019023765280865E+04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  1.128921525886670E-02,  2.972800494835294E+01,  1.763571864448790E+00,  1.318106478269378E+02,  2.717584611277112E+02,  2.467999198183089E+06,  5.978201064881191E-03,  2.628082114093415E+02,  2.615271105335921E+02,  3.006744278220490E+01,  3.040688061605687E+01,  6.021878422838802E+04,
