*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 12:21:56 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000, -9.305669702508728E+00, -2.824902177129004E+01,  5.714561007278541E+00,  3.053402079284233E-03, -1.480927245548357E-03, -7.120286975259228E-04,  1.749189816275196E-01,  3.028628282164908E+01,  3.087821442646596E-04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000, -9.302611546414878E+00, -2.825049995060156E+01,  5.713844911565774E+00,  3.062166892901216E-03, -1.477053514771972E-03, -7.214669289307466E-04,  1.749207384730649E-01,  3.028658701002568E+01,  3.010904136341497E-04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000, -9.299547978952074E+00, -2.825197921767360E+01,  5.713117271162225E+00,  3.063354561305011E-03, -1.482873867211689E-03, -7.332346301050084E-04,  1.749224812853566E-01,  3.028688876861974E+01,  3.043314749444026E-04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000, -9.296487780106341E+00, -2.825346715496591E+01,  5.712381236678866E+00,  3.055998795147983E-03, -1.492923335207087E-03, -7.368903230386209E-04,  1.749242699288688E-01,  3.028719846264366E+01,  3.156715375315732E-04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000, -9.293436633962957E+00, -2.825496334193702E+01,  5.711647387933199E+00,  3.046748434190287E-03, -1.497972357859415E-03, -7.292311759229321E-04,  1.749261237375098E-01,  3.028751943965986E+01,  3.250605987801006E-04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000, -9.290392063971613E+00, -2.825645973311125E+01,  5.710924301509930E+00,  3.043941097872653E-03, -1.493247885821662E-03, -7.171389343103654E-04,  1.749280043018042E-01,  3.028784504927382E+01,  3.241883453548500E-04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000, -9.287345637551738E+00, -2.825794782853320E+01,  5.710210902378627E+00,  3.050174104005695E-03, -1.482691238165478E-03, -7.114559531921505E-04,  1.749298496997772E-01,  3.028816457002799E+01,  3.138924754859786E-04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000, -9.284290486629835E+00, -2.825942625939946E+01,  5.709497414572736E+00,  3.059975049366377E-03, -1.475455004579094E-03, -7.173119619907236E-04,  1.749316297466425E-01,  3.028847277558863E+01,  3.034264532408782E-04,
