*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:45:15 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Sun (10)                        {source: plu055l_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591221022397777E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  2.402270447747616E-01,  2.965588445703839E+01,  1.700349545700115E+01,  1.107088420485199E+02,  1.131237809956455E+02,  2.447752693939758E+06,  4.041694650143085E-03,  1.609324425158968E+01,  2.668578068379027E+01,  3.903256131069676E+01,  4.840923816435513E+01,  8.907154823961161E+04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  2.446980883283016E-01,  2.969986913647000E+01,  1.708257598143415E+01,  1.104818142971676E+02,  1.145073292984337E+02,  2.447928964192567E+06,  3.997174862679548E-03,  1.521538924336055E+01,  2.552581730566094E+01,  3.932185087514967E+01,  4.894383261382935E+01,  9.006361051682143E+04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  2.489353761176646E-01,  2.969787000961911E+01,  1.722925724964182E+01,  1.100680077745450E+02,  1.150365436740163E+02,  2.447955563646433E+06,  3.963985729226255E-03,  1.498757774865142E+01,  2.539853973341336E+01,  3.954103157742613E+01,  4.938419314523316E+01,  9.081768315807475E+04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  2.491272222648615E-01,  2.965239810319165E+01,  1.731323151849664E+01,  1.098352554856073E+02,  1.142787066673211E+02,  2.447814908679063E+06,  3.971585180355888E-03,  1.557890555882892E+01,  2.638517952721814E+01,  3.949057547755605E+01,  4.932875285192045E+01,  9.064390757136951E+04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  2.451898926917729E-01,  2.960122450601853E+01,  1.725918786161781E+01,  1.099846651512877E+02,  1.128844481380114E+02,  2.447628174336559E+06,  4.013249133570271E-03,  1.649576090749786E+01,  2.764331080094389E+01,  3.921678342594166E+01,  4.883234234586480E+01,  8.970287864479930E+04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  2.406023053161188E-01,  2.959122013515189E+01,  1.711512878687257E+01,  1.103888631088072E+02,  1.120750409808403E+02,  2.447558681036343E+06,  4.051946268906705E-03,  1.694045380076540E+01,  2.807308713613273E+01,  3.896669734752091E+01,  4.834217455988993E+01,  8.884619294251775E+04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  2.393941281960759E-01,  2.963313888482261E+01,  1.701018451269002E+01,  1.106888974770193E+02,  1.126135471794358E+02,  2.447674895680565E+06,  4.053004643398782E-03,  1.647791318488978E+01,  2.725426402623037E+01,  3.895991338397361E+01,  4.828668788312460E+01,  8.882299224264149E+04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  2.427287500669639E-01,  2.968682607263140E+01,  1.703778332403314E+01,  1.106095503784703E+02,  1.140085263240748E+02,  2.447871119671167E+06,  4.015462983470264E-03,  1.554136894237837E+01,  2.594167526972874E+01,  3.920236781108029E+01,  4.871790954952919E+01,  8.965342265187037E+04,
