*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:19:10 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat427l_merged_DE438}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  5.544518702027756E+00,  7.255870617247578E+00, -3.468664722308316E-01, -4.724004648959779E-03,  3.376071294496197E-03,  1.290497797627512E-04,  5.277877799540874E-02,  9.138362129010329E+00, -1.904891308123942E-04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  5.539793558808195E+00,  7.259245414599710E+00, -3.467374196986481E-01, -4.726301894468082E-03,  3.373499669750764E-03,  1.290693543867674E-04,  5.277767863785612E-02,  9.138171781150700E+00, -1.902380475768105E-04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  5.535066091782794E+00,  7.262617588742932E+00, -3.466083185447279E-01, -4.728638218278826E-03,  3.370841460999707E-03,  1.291372660384593E-04,  5.277658039648689E-02,  9.137981626552238E+00, -1.900805561240052E-04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  5.530336270874931E+00,  7.265987079487946E+00, -3.464791352256338E-01, -4.731005988994598E-03,  3.368133265675803E-03,  1.292327612888770E-04,  5.277548288654711E-02,  9.137791598596857E+00, -1.899821926241110E-04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  5.525604056973234E+00,  7.269353845171346E+00, -3.463498456689297E-01, -4.733438729073744E-03,  3.365383965129775E-03,  1.293553214529887E-04,  5.277438577877228E-02,  9.137601640274179E+00, -1.899561440040630E-04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  5.520869378703307E+00,  7.272717790729840E+00, -3.462203940971970E-01, -4.735898402394304E-03,  3.362477079672074E-03,  1.295613507210321E-04,  5.277328837901956E-02,  9.137411631397098E+00, -1.900742184050067E-04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  5.516132297344654E+00,  7.276078782634435E+00, -3.460907179601633E-01, -4.738263487810619E-03,  3.359501481846170E-03,  1.297933763044691E-04,  5.277219027730986E-02,  9.137221500979933E+00, -1.901903208493455E-04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  5.511392871035690E+00,  7.279436752215638E+00, -3.459607882778635E-01, -4.740558811185064E-03,  3.356423955584591E-03,  1.300699439823486E-04,  5.277109135664763E-02,  9.137031228765535E+00, -1.903468637895517E-04,
