*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:34:28 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat427l_merged_DE438}
Center body name: Sun (10)                        {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9599678443364383E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  5.607148332851682E-02,  9.043020484585151E+00,  2.485023528681204E+00,  1.136511727729640E+02,  3.367836152618979E+02,  2.452758514417378E+06,  3.324332970574147E-02,  3.259583510996605E+02,  3.221431390594286E+02,  9.580196301805772E+00,  1.011737211902639E+01,  1.082924012686444E+04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  5.613658513680391E-02,  9.043275623251729E+00,  2.484467323555957E+00,  1.136743834438399E+02,  3.366897835310991E+02,  2.452756595359043E+06,  3.323848393644093E-02,  3.260603383108811E+02,  3.222502070724842E+02,  9.581127397084739E+00,  1.011897917091775E+01,  1.083081889921323E+04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  5.620685489215665E-02,  9.043429469340351E+00,  2.484126606445345E+00,  1.136885932998629E+02,  3.366227823694007E+02,  2.452755147095415E+06,  3.323392406683599E-02,  3.261463597800779E+02,  3.223394399711776E+02,  9.582003764508158E+00,  1.012057805967597E+01,  1.083230494467076E+04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  5.628300514783428E-02,  9.043525159363922E+00,  2.483907089615154E+00,  1.136977402008763E+02,  3.365701838309532E+02,  2.452753943520356E+06,  3.322937450341556E-02,  3.262242176005117E+02,  3.224193314866335E+02,  9.582878350919811E+00,  1.012223154247570E+01,  1.083378803783973E+04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  5.637571445703098E-02,  9.043571152362409E+00,  2.483800850392087E+00,  1.137021628713044E+02,  3.365265581804602E+02,  2.452752842573624E+06,  3.322422456467956E-02,  3.262992545484003E+02,  3.224949730037711E+02,  9.583868591468761E+00,  1.012416603057511E+01,  1.083546733496117E+04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  5.646407416767360E-02,  9.043436917531247E+00,  2.484075145848311E+00,  1.136907683897265E+02,  3.365350008041831E+02,  2.452752708236143E+06,  3.322029770294137E-02,  3.263409207602390E+02,  3.225343516527764E+02,  9.584623828238138E+00,  1.012581073894503E+01,  1.083674815978922E+04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  5.651935302234594E-02,  9.043231672069187E+00,  2.484486506297153E+00,  1.136737152789890E+02,  3.365735915166030E+02,  2.452753245819980E+06,  3.321850919416337E-02,  3.263580936676518E+02,  3.225492378485279E+02,  9.584967853912291E+00,  1.012670403575540E+01,  1.083733161821884E+04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  5.654618873783192E-02,  9.042915956309313E+00,  2.485116961053065E+00,  1.136476473071674E+02,  3.366516959471428E+02,  2.452754611963261E+06,  3.321883151762946E-02,  3.263456043839240E+02,  3.225336185018519E+02,  9.584905851629928E+00,  1.012689574695055E+01,  1.083722646321697E+04,
