*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:05:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000, -5.963220663540533E-03, -4.056388382549196E-03,  1.833654888041792E-04,  6.978336825254577E-06, -5.795724292970313E-06, -1.452533626909049E-07,  4.166703671897928E-05,  7.214423767331752E-03, -2.513061153821956E-06,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000, -5.956238878110809E-03, -4.062179124687797E-03,  1.832201402424190E-04,  6.985230660634799E-06, -5.785761199008245E-06, -1.454436374747270E-07,  4.165252024592167E-05,  7.211910317936467E-03, -2.513834958398037E-06,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000, -5.949250208794135E-03, -4.067959907401580E-03,  1.830746017685255E-04,  6.992104773013013E-06, -5.775805465156963E-06, -1.456331942974352E-07,  4.163799934943405E-05,  7.209396102648018E-03, -2.514593066670350E-06,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000, -5.942254674784071E-03, -4.073730738100619E-03,  1.829288740788703E-04,  6.998960228992390E-06, -5.765857175464633E-06, -1.458220758669403E-07,  4.162347411789440E-05,  7.206881136768576E-03, -2.515336281576559E-06,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000, -5.935252294185226E-03, -4.079491624229487E-03,  1.827829578287475E-04,  7.005798139018847E-06, -5.755916312933844E-06, -1.460103214047577E-07,  4.160894463478635E-05,  7.204365434752887E-03, -2.516065495485564E-06,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000, -5.928243083972215E-03, -4.085242573160210E-03,  1.826368536365722E-04,  7.012619651519888E-06, -5.745982747363059E-06, -1.461979651878433E-07,  4.159441097817535E-05,  7.201849010117563E-03, -2.516781692643802E-06,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000, -5.921227059955353E-03, -4.090983592072573E-03,  1.824905620896532E-04,  7.019425945207694E-06, -5.736056222194888E-06, -1.463850348400291E-07,  4.157987322017289E-05,  7.199331875348319E-03, -2.517485950781230E-06,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000, -5.914204236755152E-03, -4.096714687820791E-03,  1.823440837518222E-04,  7.026218219101779E-06, -5.726136340426672E-06, -1.465715493366627E-07,  4.156533142639471E-05,  7.196814041806172E-03, -2.518179441497318E-06,
