*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:19:43 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.492343438138126E+01, -1.322293043751996E+01, -2.424858801276956E-01,  2.579478573602623E-03,  2.760836435406585E-03, -2.311042831326511E-05,  1.151652812086212E-01,  1.994025031169231E+01,  9.999548741704369E-05,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  1.492601358699211E+01, -1.322016936081001E+01, -2.425090235013077E-01,  2.578917135726344E-03,  2.761323116670381E-03, -2.315935684890174E-05,  1.151658587026776E-01,  1.994035030168859E+01,  9.996861981514698E-05,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  1.492859223146479E+01, -1.321740779222512E+01, -2.425321766179636E-01,  2.578387782555660E-03,  2.761808794260742E-03, -2.316009662439575E-05,  1.151664360201799E-01,  1.994045026111545E+01,  9.996583753168674E-05,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  1.493117032674395E+01, -1.321464574174633E+01, -2.425553919306215E-01,  2.577755876781838E-03,  2.762303646709779E-03, -2.325865059350498E-05,  1.151670132545966E-01,  1.994055020615650E+01,  9.988136862375179E-05,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  1.493374773477430E+01, -1.321188316956952E+01, -2.425785988004897E-01,  2.577104722619903E-03,  2.762834982640015E-03, -2.312679188322797E-05,  1.151675896514416E-01,  1.994065000617650E+01,  9.975546787167202E-05,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  1.493632461073208E+01, -1.320912009376933E+01, -2.426016822979940E-01,  2.576648761072851E-03,  2.763310352725721E-03, -2.308558154826780E-05,  1.151681659428177E-01,  1.994074978793513E+01,  9.981392975700834E-05,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  1.493890095826573E+01, -1.320635653721401E+01, -2.426248026077713E-01,  2.576016446904168E-03,  2.763814304804970E-03, -2.311653937743012E-05,  1.151687422432553E-01,  1.994084957126271E+01,  9.972223570290718E-05,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  1.494147669114983E+01, -1.320359246578738E+01, -2.426478481450823E-01,  2.575487681999876E-03,  2.764318368611462E-03, -2.298541714781175E-05,  1.151693180412765E-01,  1.994094926759959E+01,  9.970605307887032E-05,
