*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:41:32 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9592512720208388E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  4.532096057451476E-02,  1.833788606690773E+01,  7.719780373127861E-01,  7.389970048143441E+01,  9.578239151821569E+01,  2.439261901206437E+06,  1.170781172545992E-02,  1.460268384022265E+02,  1.487974170643793E+02,  1.920843059248820E+01,  2.007897511806866E+01,  3.074870081973906E+04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  4.532978574420515E-02,  1.833754254983286E+01,  7.723552562999513E-01,  7.395852810246144E+01,  9.571785203204767E+01,  2.439261599288636E+06,  1.170797836370134E-02,  1.460441596396052E+02,  1.488139853184449E+02,  1.920824833120801E+01,  2.007895411258315E+01,  3.074826317719553E+04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  4.533297550089004E-02,  1.833749585825276E+01,  7.724157045005188E-01,  7.396794640822415E+01,  9.571628193343706E+01,  2.439262324751177E+06,  1.170796440218010E-02,  1.460471997597700E+02,  1.488169888688914E+02,  1.920826360151488E+01,  2.007903134477699E+01,  3.074829984390502E+04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  4.535149520622376E-02,  1.833659430768440E+01,  7.731243813362925E-01,  7.407802628331471E+01,  9.557108911785504E+01,  2.439259744311030E+06,  1.170848716658118E-02,  1.460956423520358E+02,  1.488629625810676E+02,  1.920769185266307E+01,  2.007878939764175E+01,  3.074692698366072E+04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  4.535879320594795E-02,  1.833601980316613E+01,  7.723304469666787E-01,  7.395458905014162E+01,  9.565257160074435E+01,  2.439256361266994E+06,  1.170890317887257E-02,  1.461521538900254E+02,  1.489157565451442E+02,  1.920723688928486E+01,  2.007845397540360E+01,  3.074583455857595E+04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  4.535225301219093E-02,  1.833654283316274E+01,  7.721112404200992E-01,  7.392036088569589E+01,  9.572544720325587E+01,  2.439259482591263E+06,  1.170852252742291E-02,  1.461225649728308E+02,  1.488879563729725E+02,  1.920765317995026E+01,  2.007876352673778E+01,  3.074683412504286E+04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  4.536698178055907E-02,  1.833577245501780E+01,  7.723773862080360E-01,  7.396193480225993E+01,  9.564907432542664E+01,  2.439256851719657E+06,  1.170898945299492E-02,  1.461709060494323E+02,  1.489336093809069E+02,  1.920714254071920E+01,  2.007851262642061E+01,  3.074560801725886E+04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  4.536227536748787E-02,  1.833600184544618E+01,  7.715815537643804E-01,  7.383725751561705E+01,  9.578271452724947E+01,  2.439257511681372E+06,  1.170885631553544E-02,  1.461732254676421E+02,  1.489354852236180E+02,  1.920728813907352E+01,  2.007857443270085E+01,  3.074595761520688E+04,
