*******************************************************************************
Ephemeris / WWW_USER Tue Jun  9 11:00:31 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000, -4.222514071159895E-01,  5.806579529916985E-01,  3.220332571890858E-02, -1.653888673666774E-02, -1.184748566736903E-02,  7.930371151852034E-04,  4.150733526099177E-03,  7.186772317050963E-01,  1.805676425793372E-04,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000, -4.386220292372902E-01,  5.685788005940940E-01,  3.298348424403091E-02, -1.620017654150335E-02, -1.230921781324425E-02,  7.671759353331687E-04,  4.151786487157127E-03,  7.188595462606955E-01,  1.840389324928764E-04,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000, -4.546474445337850E-01,  5.560427824016779E-01,  3.373747311344155E-02, -1.584851971757774E-02, -1.276115512370382E-02,  7.407013445121447E-04,  4.152859103739861E-03,  7.190452640649134E-01,  1.873737107038750E-04,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000, -4.703148480899437E-01,  5.430598782628082E-01,  3.446468962461315E-02, -1.548420150447327E-02, -1.320292897104816E-02,  7.136348451491528E-04,  4.153950580096883E-03,  7.192342473378224E-01,  1.905694599377223E-04,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000, -4.856117256258881E-01,  5.296404324031059E-01,  3.516455283081454E-02, -1.510751789024617E-02, -1.363417928404177E-02,  6.859984431294835E-04,  4.155060106273117E-03,  7.194263558400491E-01,  1.936237788754544E-04,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000, -5.005258641130170E-01,  5.157951447036898E-01,  3.583650403464162E-02, -1.471877534388772E-02, -1.405455487703017E-02,  6.578146278559487E-04,  4.156186858783658E-03,  7.196214469896013E-01,  1.965343838734910E-04,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000, -5.150453621166241E-01,  5.015350616548184E-01,  3.648000726135378E-02, -1.431829053690333E-02, -1.446371376994162E-02,  6.291063518046031E-04,  4.157330001298029E-03,  7.198193759803465E-01,  1.992991105465927E-04,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000, -5.291586398547966E-01,  4.868715669942552E-01,  3.709454971152473E-02, -1.390639005435774E-02, -1.486132349876971E-02,  5.998970096025742E-04,  4.158488685333209E-03,  7.200199959020032E-01,  2.019159152129162E-04,
