*******************************************************************************
Ephemeris / WWW_USER Wed Jun 10 10:27:22 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-09 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-09 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591293263082414E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  6.741875924909230E-03,  7.184498398209527E-01,  3.394600207132157E+00,  7.667816381009985E+01,  5.512588794839007E+01,  2.451738382748316E+06,  1.602149785213850E+00,  3.537792556199293E+02,  3.536948343553927E+02,  7.233264167760660E-01,  7.282029937311795E-01,  2.246980921025111E+02,
2451735.500000000, A.D. 2000-Jul-10 00:00:00.0000,  6.741730928855773E-03,  7.184498369216077E-01,  3.394600213620381E+00,  7.667816393878731E+01,  5.512630734997749E+01,  2.451738383006895E+06,  1.602150145735515E+00,  3.553809900827313E+02,  3.553182504693529E+02,  7.233263082656977E-01,  7.282027796097875E-01,  2.246980415401274E+02,
2451736.500000000, A.D. 2000-Jul-11 00:00:00.0000,  6.741598131104970E-03,  7.184498348749473E-01,  3.394600217750429E+00,  7.667816402549768E+01,  5.512670641033453E+01,  2.451738383252840E+06,  1.602150473890720E+00,  3.569827455708070E+02,  3.569417371600665E+02,  7.233262094970720E-01,  7.282025841191967E-01,  2.246979955170897E+02,
2451737.500000000, A.D. 2000-Jul-12 00:00:00.0000,  6.741477702464078E-03,  7.184498336854099E-01,  3.394600219696098E+00,  7.667816406869245E+01,  5.512708784959646E+01,  2.451738383487834E+06,  1.602150769251334E+00,  3.585845192875175E+02,  3.585652742959910E+02,  7.233261205990381E-01,  7.282024075126664E-01,  2.246979540934364E+02,
2451738.500000000, A.D. 2000-Jul-13 00:00:00.0000,  6.741369778831037E-03,  7.184498333553561E-01,  3.394600219626102E+00,  7.667816406680595E+01,  5.512745450688206E+01,  2.451738383713637E+06,  1.602151031480644E+00,  1.863083170076613E-01,  1.888415989404917E-01,  7.233260416729315E-01,  7.282022499905070E-01,  2.246979173163859E+02,
2451739.500000000, A.D. 2000-Jul-14 00:00:00.0000,  6.741274461856221E-03,  7.184498338856747E-01,  3.394600217703309E+00,  7.667816401819142E+01,  5.512780932172312E+01,  2.451738383932068E+06,  1.602151260329724E+00,  1.788109643071943E+00,  1.812418677653849E+00,  7.233259727936660E-01,  7.282021117016573E-01,  2.246978852208447E+02,
2451740.500000000, A.D. 2000-Jul-15 00:00:00.0000,  6.741191819843226E-03,  7.184498352763490E-01,  3.394600214084126E+00,  7.667816392106066E+01,  5.512815531774193E+01,  2.451738384145001E+06,  1.602151455633360E+00,  3.389920165783265E+00,  3.435985059137571E+00,  7.233259140109604E-01,  7.282019927455717E-01,  2.246978578299798E+02,
2451741.500000000, A.D. 2000-Jul-16 00:00:00.0000,  6.741121888839252E-03,  7.184498375270072E-01,  3.394600208918201E+00,  7.667816377341465E+01,  5.512849558909588E+01,  2.451738384354351E+06,  1.602151617305576E+00,  4.991736715374674E+00,  5.059520217248807E+00,  7.233258653506863E-01,  7.282018931743655E-01,  2.246978351558457E+02,
