Name,Moon of,Plane_of_reference,Relative_Ecuatorial_Radius,Relative_Polar_Radius,Mass,"Orbit_semimajor_axis_[UA]",Inclination,Eccentricity,"Argument_of_periapsis","L_ascending_node",Mean_Longitude,Obliquity,Sidereal_rotation_period,Right_Ascension,Declination,Reference_Date,Model,ModelScale,Mesh_[dataset],TextureFile,NormalMap,NormalX,NormalY,roughnessMap,metalnessMap,lightMap,"bumpMap ",BumpScale,AOMap,AOMapIntensity,displacementMap,displacementScale,displacementBias,emissiveMap,emissiveIntensity,emissiveColor
Moon,Earth,ecliptic,0.2725,,,"0.00256955529",5.16,0.0554,"318.15","125.08",,,,,,,,,,textures/moon.jpg,textures/moon_normal.jpg,,,,,,"",,,,,,,,,
Phobos,Mars,Laplace,0.0017664969,,,"0.00006263168",1.075,0.0151,"150.057","207.784",,,,,,,models/glTF/Phobos_1_1000.glb,0.001,,,,,,,,,"",,,,,,,,,
Deimos,Mars,Laplace,0.0017664969,,,"0.0001567061",1.788,0.0002,"260.729","24.525",,,,,,,models/glTF/Deimos_1_1000.glb,0.001,,,,,,,,,"",,,,,,,,,
Io,Jupiter,Laplace,0.2855839302,,,"0.00281955885",0.036,0.004,"84.129","43.977",,,,,,,,,,textures/io_corrected.jpg,,,,,,,"",,,,,,,,,
Europa,Jupiter,Laplace,0.2447100731,,,"0.00448602642",0.466,0.009,"88.970","219.106",,,,,,,,,,textures/europa.jpg,,,,,,,"",,,,,,,,,
Ganymede,Jupiter,Laplace,0.4125327681,,,"0.007155182056",0.177,0.001,"192.417","63.552",,,,,,,,,,textures/ganymede.jpg,,,,,,,"",,,,,,,,,
Callisto,Jupiter,Laplace,0.3778989552,,,"0.01258507218",0.192,0.007,"52.643","298.848",,,,,,,,,,textures/callisto.jpg,,,,,,,"",,,,,,,,,
Adrastea,Jupiter,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Aitne,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Amalthea,Jupiter,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Ananke,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Aoede,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Arche,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Autonoe,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Callirrhoe,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Carme,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Carpo,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Chaldene,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Cyllene,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Dia,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Eirene,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Elara,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Erinome,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Ersa,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Euanthe,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Eukelade,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Eupheme,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Euporie,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Eurydome,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Harpalyke,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Hegemone,Jupiter,,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Mimas,Saturn,Laplace,0.0326,,,"0.0012394005",1.574,0.0196,"332.499","173.027",,,,,,,,,,,,,,,,,"",,,,,,,,,
Enceladus,Saturn,Laplace,0.0402937524,,,"0.0015901206",0.003,0.0000,"0.076","342.507",,,,,,,,,,,,,,,,,"",,,,,,,,,
Tethys,Saturn,Laplace,0.0835664204,,,"0.001968409",1.091,0.0001,"45.202","259.842",,0.001,,,,,,,,textures/tethys.jpg,,,,,,,"",,,,,,,,,
Dione,Saturn,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Rhea,Saturn,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Titan,Saturn,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Hyperion,Saturn,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
Iapetus,Saturn,Laplace,,,,"",,,"","",,,,,,,,,,,,,,,,,"",,,,,,,,,
